test_id,version,model,used_retrieval,question,true_queue,true_type,true_priority,expected_source,retrieved_vote_source,top_retrieved_source,retrieval_hit_topk,generated_answer,response_time_s,answer_chars,pred_queue,pred_queue_raw,queue_valid,pred_type,pred_priority,citations
T1,V0_baseline,llama3.2:3b,0,"Excessive Billing Inquiry. There are unexpected charges on your monthly invoice due to potential misconfigurations in your subscription settings. You have already contacted support and reviewed the settings, but the issue still exists.",Billing and Payments,Incident,medium,DOC-001,,,0,"Queue: Excessive Billing Inquiry
Type: Problem
Priority: Medium
Citations: NONE
Draft response: 
Dear [Customer Name], 
We apologize for the unexpected charges on your recent invoice. 
Our team will review your subscription settings again to identify the cause of the issue and provide a resolution as soon as possible. 
We will be in touch with you shortly to discuss the next steps.",4.4,384,,Excessive Billing Inquiry,0,Problem,medium,NONE
T2,V0_baseline,llama3.2:3b,0,"Detected Payment Processing Problem. I encountered an unexpected payment failure during the renewal of my subscription. It may be because my payment method is outdated. After reviewing my account settings, I did not find a solution. I would greatly appreciate your help in resolving this to avoid any interruptions to my subscription.",Billing and Payments,Incident,medium,DOC-001,,,0,"Queue: Payment Processing
Type: Problem
Priority: Medium
Citations: NONE
Draft response: 
Dear [Customer], 
We apologize for the unexpected payment failure during your subscription renewal. 
Our team will review your account settings and payment method to determine the cause of the issue and provide a solution as soon as possible. 
Please allow us to investigate this further and we will be in touch with an update.",2.24,417,,Payment Processing,0,Problem,medium,NONE
T3,V0_baseline,llama3.2:3b,0,Campaign Data Lost in HubSpot CRM Linked to SAP ERP Integration. Your campaign data has vanished from HubSpot CRM because of problems with the SAP ERP integration. You have already restarted the NAS-System and verified your network settings.,Customer Service,Incident,medium,DOC-002,,,0,"Queue: SAP Integration Support
Type: Incident
Priority: High
Citations: NONE
Draft response: ""Thank you for reaching out to us regarding the lost campaign data in HubSpot CRM. We're sorry to hear that the SAP ERP integration issue has caused this issue. We'll need to investigate further to resolve this issue and retrieve your data.""",1.85,334,,SAP Integration Support,0,Incident,high,NONE
T4,V0_baseline,llama3.2:3b,0,"Reported Slow Performance in Applications. Multiple software applications are currently experiencing slow performance. This might be due to conflicting updates or insufficient system resources. Steps like restarting and freeing up resources have been attempted, but the issue still persists.",Customer Service,Incident,low,DOC-002,,,0,"Queue: Critical System Issue
Type: Problem
Priority: High
Citations: NONE
Draft response: ""Thank you for reaching out to us about the slow performance in your applications. We'll be happy to assist you in resolving this issue. Can you please provide more information about the applications experiencing slow performance, such as their names and versions?""",1.82,355,,Critical System Issue,0,Problem,high,NONE
T5,V0_baseline,llama3.2:3b,0,"Update to Digital Toolkit. Hello Customer Support, I am contacting you to request an upgrade to our digital toolkit to include new software integrations. This upgrade is crucial for us to improve our brand growth strategies and campaign management. The new integrations will allow us to handle our campaigns more efficiently and effectively, track our progress, and base our decisions on data. I believe this upgrade is vital for our company's ongoing success. I would greatly appreciate an estimate of when this can be done. Thank you for your time and help. I look forward to your response.",General Inquiry,Change,low,DOC-003,,,0,"Queue: Digital Toolkit Upgrade
Type: Request
Priority: Medium
Citations: NONE
Draft response: Thank you for reaching out to us about upgrading your digital toolkit. We'd be happy to help you explore new software integrations that can improve your brand growth strategies and campaign management. Can you please provide more information about the specific integrations you're interested in and what your current setup looks like?",2.07,428,,Digital Toolkit Upgrade,0,Request,medium,NONE
T6,V0_baseline,llama3.2:3b,0,"Issue with Inconsistent Results in Investment Optimization Tool. Dear Customer Support, I have been encountering inconsistent results with the investment optimization analytics tool. It seems that recent changes to the data sources might be the cause. After attempting to refresh the data sources and recalibrate the analytics model, the issue still persists. I have also ensured that my system meets all the necessary requirements and checked for any software updates. However, the inconsistent results continue to impact my ability to make informed investment decisions. Could you please assist in resolving this issue?",General Inquiry,Incident,low,DOC-003,,,0,"Queue: Investment Optimization Tool Support
Type: Problem
Priority: Medium
Citations: NONE
Draft response: 
Dear [Customer], 
Thank you for reaching out to us about the inconsistent results in your investment optimization analytics tool. 
We'll be happy to help you resolve this issue and would like to schedule a call to discuss further.",1.72,338,,Investment Optimization Tool Support,0,Problem,medium,NONE
T7,V0_baseline,llama3.2:3b,0,Technical Issue with Data Synchronization Across Platforms. We are currently experiencing discrepancies in reports and analytics tools due to an integration problem.,Human Resources,Problem,low,DOC-004,,,0,"Queue: Technical Issue Queue
Type: Problem
Priority: Medium
Citations: NONE
Draft response: 
We're sorry to hear that you're experiencing discrepancies in your reports and analytics tools. Our team is investigating the integration issue and will work to resolve the problem as soon as possible. In the meantime, please let us know if you have any further questions or concerns.",1.78,377,,Technical Issue Queue,0,Problem,medium,NONE
T8,V0_baseline,llama3.2:3b,0,"Support for Digital Marketing Strategies. Enhance digital marketing strategies tools to boost brand growth and improve customer engagement, aiming to effectively reach the target audience.",Human Resources,Change,medium,DOC-004,,,0,"Queue: Digital Marketing Strategies
Type: Request
Priority: Medium
Citations: NONE
Draft response: Thank you for reaching out to us about enhancing our digital marketing strategies tools. We'd be happy to help you explore ways to boost brand growth and improve customer engagement. Can you please provide more information about your current digital marketing efforts and what you're hoping to achieve?",1.64,401,,Digital Marketing Strategies,0,Request,medium,NONE
T9,V0_baseline,llama3.2:3b,0,"Problem with SaaS system. The SaaS system has failed, leading to data loss and hindering our workflow. We have rebooted the server and reviewed the logs, yet the issue remains unresolved.",IT Support,Problem,high,DOC-005,,,0,"Queue: Critical Incident Response
Type: Problem
Priority: High
Citations: NONE
Draft response: ""Our team is actively investigating the issue and working to resolve the problem as soon as possible. We apologize for the inconvenience this has caused and will keep you updated on our progress. In the meantime, please reach out to us if you have any further questions or concerns.""",1.62,378,,Critical Incident Response,0,Problem,high,NONE
T10,V0_baseline,llama3.2:3b,0,Problem with Adobe Premiere Pro. Encountered system crashes while editing videos in Adobe Premiere Pro 2021,IT Support,Incident,high,DOC-005,,,0,"Queue: Premiere Pro Crash Reports
Type: Problem
Priority: Medium
Citations: NONE
Draft response: ""Sorry to hear that you're experiencing system crashes while editing videos in Adobe Premiere Pro 2021. Can you please provide more details about the crashes, such as when they occur and any error messages you see? This will help us troubleshoot the issue and provide a more accurate solution.""",1.84,391,,Premiere Pro Crash Reports,0,Problem,medium,NONE
T11,V0_baseline,llama3.2:3b,0,Unanticipated Crash of Campaign. The digital campaign abruptly stopped functioning. Possible reasons include incompatible recent software updates. Restarting the system and verifying compatibility did not resolve the problem. Urgent assistance is required to address this.,Product Support,Incident,low,DOC-006,,,0,"Queue: Critical Campaign Support
Type: Incident
Priority: High
Citations: NONE
Draft response: ""Thank you for reaching out to us regarding the unanticipated crash of your campaign. Our team is here to assist you in resolving this issue as soon as possible. Please allow us to investigate the cause and provide a solution.""",1.53,322,,Critical Campaign Support,0,Incident,high,NONE
T12,V0_baseline,llama3.2:3b,0,"Concern about Campaign Analytics Dashboard. The campaign analytics dashboard is not showing data, which may be due to an API connection problem or outdated software. I have already tried restarting the system and verifying the API credentials.",Product Support,Problem,medium,DOC-006,,,0,"Queue: Campaign Analytics Dashboard
Type: Problem
Priority: Medium
Citations: NONE
Draft response: ""Thank you for reaching out to us about the issue with your Campaign Analytics Dashboard. We've checked the API connection and software, but couldn't find any issues. Can you please provide more details about the error message you're seeing or any recent changes you've made to your setup?""",1.6,389,,Campaign Analytics Dashboard,0,Problem,medium,NONE
T13,V0_baseline,llama3.2:3b,0,"Enhance Efficiency of Excel Data Imports for Investment Analytics. Hello support team, I am contacting you to seek help in optimizing the process of importing data from Excel to enhance investment analytics and reporting efficiency. Our team currently devotes much time to manually transferring data from Excel sheets, which can result in inaccuracies and delays. I believe that by improving this procedure, we could increase our productivity and improve our returns. Could you provide advice on how to optimize our data import procedure? I would be grateful for any suggestions or solutions you can offer. Thank you for your time and assistance. We are looking forward to your prompt response.",Returns and Exchanges,Change,low,DOC-007,,,0,"Queue: Investment Analytics Optimization
Type: Request
Priority: Medium
Citations: NONE
Draft response: 
Dear [Customer], 
Thank you for reaching out to us about optimizing your Excel data import process. We'd be happy to help you explore ways to improve your data import efficiency and accuracy. 
Please allow us to review your current process and provide a more detailed response.",2.09,382,,Investment Analytics Optimization,0,Request,medium,NONE
