test_id,version,model,used_retrieval,question,true_queue,true_type,true_priority,expected_source,retrieved_vote_source,top_retrieved_source,retrieval_hit_topk,generated_answer,response_time_s,answer_chars,pred_queue,pred_queue_raw,queue_valid,pred_type,pred_priority,citations
T1,V0_baseline,llama3.2:3b,0,"Troubleshooting Financial Firm's Data Analytics Tools. The financial firm's data analytics tools are experiencing malfunctions, which might be due to compatibility issues with recent software updates. Reinstalling the affected applications and updating drivers resolved the issue previously. We require your assistance to identify and fix the problem.",Billing and Payments,Incident,medium,DOC-001,,,0,"Queue: Financial Tools Support
Type: Problem
Priority: Medium
Citations: NONE
Draft response: 
We've received your request for assistance with the malfunctions in your financial firm's data analytics tools. Our team will investigate the compatibility issues with recent software updates and work to resolve the problem. We'll be in touch with an estimated resolution time once the issue is identified and fixed.",4.35,411,,Financial Tools Support,0,Problem,medium,NONE
T2,V0_baseline,llama3.2:3b,0,"Unanticipated Billing Variance in User Accounts. Noticed an unanticipated billing variance across multiple user accounts following a recent update. After reviewing account settings and reprocessing invoices, the discrepancies still exist. Assistance is required to resolve this issue.",Billing and Payments,Incident,medium,DOC-001,,,0,"Queue: Billing Variance
Type: Problem
Priority: Medium
Citations: NONE
Draft response: 
We apologize for the unexpected billing variance in your user accounts. Our team is investigating the issue and will work to resolve it as soon as possible. In the meantime, please contact us for further assistance or guidance.",0.81,315,,Billing Variance,0,Problem,medium,NONE
T3,V0_baseline,llama3.2:3b,0,"Encountered Billing Discrepancies with SaaS. Noted billing discrepancies in SaaS, with recent overcharges. These issues might be linked to recent system updates or payment gateway problems. Recalculated invoices and verified payment configurations, but the problems still exist.",Billing and Payments,Incident,medium,DOC-001,,,0,"Queue: Billing Discrepancies
Type: Problem
Priority: Medium
Citations: NONE
Draft response: 
Dear [Customer], 
We apologize for the billing discrepancies you've encountered with our SaaS. 
Our team is investigating the issue and will provide an update on the resolution as soon as possible. 
Please contact us if you have any further questions or concerns.",0.96,356,,Billing Discrepancies,0,Problem,medium,NONE
T4,V0_baseline,llama3.2:3b,0,"Unexpected Excessive Billing Errors This Month. Several subscriptions were overcharged at the same time due to a possible system glitch or synchronization issue. I have already contacted support and reviewed the invoices manually, but the problem remains unresolved. I would be grateful if you could look into this issue and provide a solution as soon as possible.",Billing and Payments,Incident,high,DOC-001,,,0,"Queue: Billing and Invoicing
Type: Incident
Priority: High
Citations: NONE
Draft response: 
Dear [Customer Name], 
We apologize for the unexpected excessive billing errors this month. Our team is actively investigating the issue and will work to resolve it as soon as possible. You will receive an update on the status of the issue as soon as it is resolved.",1.1,358,,Billing and Invoicing,0,Incident,high,NONE
T5,V0_baseline,llama3.2:3b,0,Concerns Regarding Subscription Billing Services. Facing issues with billing amounts,Billing and Payments,Problem,high,DOC-001,,,0,"Queue: Billing Services
Type: Problem
Priority: Medium
Citations: NONE
Draft response: ""Thank you for reaching out to us about the billing issues you're experiencing. We're here to help and would like to investigate this further. Can you please provide more details about the billing amounts you're concerned about?""",0.86,316,,Billing Services,0,Problem,medium,NONE
T6,V0_baseline,llama3.2:3b,0,"Inquiry About ClickUp Integration Specifications. Seeking comprehensive information on integrating ClickUp for scalable SaaS project management. This would significantly aid in streamlining our workflow and enhancing productivity. Thank you for your assistance, and we look forward to your response soon.",Customer Service,Request,medium,DOC-002,,,0,"Queue: Integration and API Support
Type: Request
Priority: Medium
Citations: NONE
Draft response: 
We appreciate your interest in integrating ClickUp for your SaaS project management needs. Our team will review the available integration options and provide you with a comprehensive guide on how to streamline your workflow and enhance productivity. We'll be in touch soon with more information.",0.92,394,,Integration and API Support,0,Request,medium,NONE
T7,V0_baseline,llama3.2:3b,0,Security Requirement. It is crucial to implement strengthened security measures to protect medical data in our hospital systems urgently. This will enhance overall safety.,Customer Service,Change,high,DOC-002,,,0,"Queue: Security and Compliance
Type: Request
Priority: High
Citations: NONE
Draft response: ""Thank you for reaching out to us about the urgent need for strengthened security measures to protect medical data in our hospital systems. Our team will review this request and provide a detailed response with a timeline for implementation. In the meantime, please contact our security team directly at [insert contact info].""",0.97,419,,Security and Compliance,0,Request,high,NONE
T8,V0_baseline,llama3.2:3b,0,"Guidance on ClickUp Adobe Photoshop CC 2021 Integration. Hello Customer Support, I am writing to seek integration guidelines for ClickUp and Adobe Photoshop CC 2021. Can you offer me detailed instructions or documentation on how to integrate these tools? My goal is to optimize my workflow and boost productivity. Particularly, I am interested in learning how to import and export files, as well as how to synchronize tasks and projects between the platforms. Any support or resources you can provide would be very helpful. Thank you for your time and help.",Customer Service,Request,medium,DOC-002,,,0,"Queue: Integration and Third-Party App Support
Type: Request
Priority: Medium
Citations: NONE
Draft response: 
Dear [Customer], 
Thank you for reaching out to us about integrating ClickUp with Adobe Photoshop CC 2021. We'll be happy to provide you with more information on how to import and export files, as well as synchronize tasks and projects between the platforms. Please allow us a few hours to research and provide you with the necessary documentation and instructions.",1.2,476,,Integration and Third-Party App Support,0,Request,medium,NONE
T9,V0_baseline,llama3.2:3b,0,Improve Customer Support. Seeking to enhance data analytics tools to improve investment optimization and decision-making for our firm. Upgrading these tools is essential for making informed decisions and staying competitive in the market. We believe this enhancement is crucial for our growth and success. We look forward to hearing back from you soon. Thank you for your time and assistance.,Customer Service,Change,low,DOC-002,,,0,"Queue: Customer Support Analytics Enhancement
Type: Request
Priority: Medium
Citations: NONE
Draft response: Thank you for reaching out to us about enhancing our data analytics tools. We'd be happy to discuss how we can improve our investment optimization and decision-making capabilities. Can you please provide more information about your specific requirements and goals?",0.84,373,,Customer Support Analytics Enhancement,0,Request,medium,NONE
T10,V0_baseline,llama3.2:3b,0,Safekeeping of Medical Data. Could you suggest security measures for safeguarding medical data stored on USB drives? Are there any specific encryption techniques or applications that should be employed to ensure the confidentiality of patient data?,Customer Service,Request,low,DOC-002,,,0,"Queue: Medical Data Security
Type: Request
Priority: Medium
Citations: NONE
Draft response: 
We recommend using full-disk encryption and secure storage solutions, such as encrypted USB drives or cloud storage services with robust security features. Additionally, consider using secure protocols like HTTPS and SFTP to transmit medical data.",0.8,340,,Medical Data Security,0,Request,medium,NONE
